wa_inventory_id,generic_strain_id,wholesale_date,latest_rtl_sale,wholesale_cogs,ttl_retail_sales,units_sold
6033240110005721,18,2015-07-13,2015-07-24,1500.00,3720.64,504
6032939160001387,18,2015-07-14,2015-07-24,392.00,892.05,33
6032939160001388,18,2015-07-15,2015-08-06,2240.00,4321.38,34
6032939160001390,18,2015-07-15,2015-07-25,500.00,1350.60,100
6032939160001389,18,2015-07-15,2015-07-25,1000.00,2689.07,200
6033465220003812,18,2015-07-16,2015-11-26,892.80,1805.87,60
6033465220003811,18,2015-07-16,2015-12-18,220.50,478.62,49
6033465220003815,18,2015-07-16,2015-11-20,162.50,328.90,49
6033465220003649,18,2015-07-16,2015-11-13,140.00,284.65,5
6033465220002247,18,2015-07-16,2016-01-02,80.00,197.94,10
6033465220003500,18,2015-07-16,2015-12-06,229.50,502.63,51
6033465220003492,18,2015-07-16,2015-11-20,162.50,339.57,50
6033465220002246,18,2015-07-16,2016-01-20,232.00,537.42,29
6033251170001536,18,2015-07-17,2015-09-12,600.00,1303.41,151
6033251170001537,18,2015-07-17,2015-08-31,1974.00,3585.05,150
6033240110005839,18,2015-07-20,2015-08-16,70.00,100.27,2
6033465220001075,18,2015-07-21,2015-09-18,343.80,138.60,15
6033465220001058,18,2015-07-21,2015-08-07,516.80,27.31,1
6033465220001076,18,2015-07-21,2015-08-16,114.60,148.53,15
6033248100001633,18,2015-07-22,2015-07-31,36.00,83.78,20
6033240110005904,18,2015-07-22,2015-09-06,900.00,2200.72,151
6033240110005923,18,2015-07-22,2015-09-25,5.00,0.00,5
6033240110005924,18,2015-07-23,2015-08-05,120.00,204.80,20
6033240110005934,18,2015-07-24,2015-08-27,1500.00,4096.36,509
6033387250001424,18,2015-07-27,2015-08-24,30.00,102.98,10
6033561370000331,18,2015-07-28,2015-08-14,105.00,268.90,14
6033465220001276,18,2015-07-28,2015-09-10,325.00,668.82,99
6033465220001084,18,2015-07-28,,20.00,,
6033465220001270,18,2015-07-28,2015-09-08,341.25,754.65,25
6033561370000330,18,2015-07-28,2015-08-07,56.00,94.34,2
6033465220001074,18,2015-07-28,2015-08-11,153.20,435.18,40
6033465220001263,18,2015-07-28,2015-09-05,169.68,428.73,42
6033561370000332,18,2015-07-28,2015-08-11,150.00,198.06,20
6033561370000333,18,2015-07-28,2015-08-07,75.00,106.59,19
6033465220001007,18,2015-07-28,2015-08-29,81.90,182.14,6
6033465220001269,18,2015-07-28,2015-09-11,477.75,1054.56,37
6033251170001601,18,2015-07-29,2015-08-07,451.20,1089.03,160
6022169430008103,18,2015-07-30,2015-09-20,2100.00,4076.64,52
6033251170001551,18,2015-07-30,2015-08-19,564.00,1321.43,195
6022169430008106,18,2015-07-30,2015-08-24,612.50,1699.68,50
6022169430008105,18,2015-07-30,2015-09-21,375.00,1011.72,102
6033465220001446,18,2015-07-31,2015-08-20,162.50,324.81,49
6022169430008148,18,2015-07-31,2015-09-01,350.00,1243.00,50
6033465220001384,18,2015-07-31,2015-08-24,373.10,686.25,25
6022169430008134,18,2015-07-31,2015-09-05,612.50,1190.23,50
6033465220001385,18,2015-07-31,2015-09-04,280.00,495.16,10
6022169430008147,18,2015-07-31,2015-08-13,375.00,1243.00,100
6033240110006068,18,2015-07-31,2015-08-22,900.00,2056.55,153
6033468880000545,18,2015-08-03,2017-04-11,82.00,224.68,164
6022169430008179,18,2015-08-04,2015-08-15,840.00,1412.00,38
6022169430008181,18,2015-08-04,2015-08-09,350.00,617.71,5
6022169430008197,18,2015-08-04,2015-08-13,1050.00,1723.39,14
6022169430008178,18,2015-08-04,2015-08-15,612.50,1018.15,50
6022169430008176,18,2015-08-04,2015-08-28,453.75,831.08,121
6022169430008177,18,2015-08-04,2015-08-10,245.00,407.65,20
6022169430008180,18,2015-08-04,2015-08-13,615.00,1026.04,15
6022169430008201,18,2015-08-06,2015-08-20,168.75,308.74,45
6022169430008200,18,2015-08-06,2015-08-19,112.50,205.85,30
6022169430008205,18,2015-08-06,2015-08-20,420.00,755.00,20
6022169430008206,18,2015-08-06,2015-08-19,410.00,686.30,10
6022169430008204,18,2015-08-06,2015-08-21,367.50,613.58,32
6022169430008207,18,2015-08-06,2015-08-20,1050.00,1874.38,15
6033248100001901,18,2015-08-06,2015-09-12,810.00,2129.44,60
